beta,eta,alpha,delta,rho,sigma
0.95,0.5,0.33,0.025,0.66,0.007
0.95,0.5,0.4,0.025,0.66,0.007
0.99,0.5,0.33,0.025,0.66,0.007
0.99,0.5,0.4,0.025,0.66,0.007
0.95,0.5,0.33,0.99,0.66,0.007
0.95,0.5,0.4,0.99,0.66,0.007
0.99,0.5,0.33,0.99,0.66,0.007
0.99,0.5,0.4,0.99,0.66,0.007
0.95,1.5,0.33,0.025,0.66,0.007
0.95,1.5,0.4,0.025,0.66,0.007
0.99,1.5,0.33,0.025,0.66,0.007
0.99,1.5,0.4,0.025,0.66,0.007
0.95,1.5,0.33,0.99,0.66,0.007
0.95,1.5,0.4,0.99,0.66,0.007
0.99,1.5,0.33,0.99,0.66,0.007
0.99,1.5,0.4,0.99,0.66,0.007
0.95,2,0.33,0.025,0.66,0.007
0.95,2,0.4,0.025,0.66,0.007
0.99,2,0.33,0.025,0.66,0.007
0.99,2,0.4,0.025,0.66,0.007
0.95,2,0.33,0.99,0.66,0.007
0.95,2,0.4,0.99,0.66,0.007
0.99,2,0.33,0.99,0.66,0.007
0.99,2,0.4,0.99,0.66,0.007
0.95,0.5,0.33,0.025,0.95,0.007
0.95,0.5,0.4,0.025,0.95,0.007
0.99,0.5,0.33,0.025,0.95,0.007
0.99,0.5,0.4,0.025,0.95,0.007
0.95,0.5,0.33,0.99,0.95,0.007
0.95,0.5,0.4,0.99,0.95,0.007
0.99,0.5,0.33,0.99,0.95,0.007
0.99,0.5,0.4,0.99,0.95,0.007
0.95,1.5,0.33,0.025,0.95,0.007
0.95,1.5,0.4,0.025,0.95,0.007
0.99,1.5,0.33,0.025,0.95,0.007
0.99,1.5,0.4,0.025,0.95,0.007
0.95,1.5,0.33,0.99,0.95,0.007
0.95,1.5,0.4,0.99,0.95,0.007
0.99,1.5,0.33,0.99,0.95,0.007
0.99,1.5,0.4,0.99,0.95,0.007
0.95,2,0.33,0.025,0.95,0.007
0.95,2,0.4,0.025,0.95,0.007
0.99,2,0.33,0.025,0.95,0.007
0.99,2,0.4,0.025,0.95,0.007
0.95,2,0.33,0.99,0.95,0.007
0.95,2,0.4,0.99,0.95,0.007
0.99,2,0.33,0.99,0.95,0.007
0.99,2,0.4,0.99,0.95,0.007
0.95,0.5,0.33,0.025,0.66,0.01
0.95,0.5,0.4,0.025,0.66,0.01
0.99,0.5,0.33,0.025,0.66,0.01
0.99,0.5,0.4,0.025,0.66,0.01
0.95,0.5,0.33,0.99,0.66,0.01
0.95,0.5,0.4,0.99,0.66,0.01
0.99,0.5,0.33,0.99,0.66,0.01
0.99,0.5,0.4,0.99,0.66,0.01
0.95,1.5,0.33,0.025,0.66,0.01
0.95,1.5,0.4,0.025,0.66,0.01
0.99,1.5,0.33,0.025,0.66,0.01
0.99,1.5,0.4,0.025,0.66,0.01
0.95,1.5,0.33,0.99,0.66,0.01
0.95,1.5,0.4,0.99,0.66,0.01
0.99,1.5,0.33,0.99,0.66,0.01
0.99,1.5,0.4,0.99,0.66,0.01
0.95,2,0.33,0.025,0.66,0.01
0.95,2,0.4,0.025,0.66,0.01
0.99,2,0.33,0.025,0.66,0.01
0.99,2,0.4,0.025,0.66,0.01
0.95,2,0.33,0.99,0.66,0.01
0.95,2,0.4,0.99,0.66,0.01
0.99,2,0.33,0.99,0.66,0.01
0.99,2,0.4,0.99,0.66,0.01
0.95,0.5,0.33,0.025,0.95,0.01
0.95,0.5,0.4,0.025,0.95,0.01
0.99,0.5,0.33,0.025,0.95,0.01
0.99,0.5,0.4,0.025,0.95,0.01
0.95,0.5,0.33,0.99,0.95,0.01
0.95,0.5,0.4,0.99,0.95,0.01
0.99,0.5,0.33,0.99,0.95,0.01
0.99,0.5,0.4,0.99,0.95,0.01
0.95,1.5,0.33,0.025,0.95,0.01
0.95,1.5,0.4,0.025,0.95,0.01
0.99,1.5,0.33,0.025,0.95,0.01
0.99,1.5,0.4,0.025,0.95,0.01
0.95,1.5,0.33,0.99,0.95,0.01
0.95,1.5,0.4,0.99,0.95,0.01
0.99,1.5,0.33,0.99,0.95,0.01
0.99,1.5,0.4,0.99,0.95,0.01
0.95,2,0.33,0.025,0.95,0.01
0.95,2,0.4,0.025,0.95,0.01
0.99,2,0.33,0.025,0.95,0.01
0.99,2,0.4,0.025,0.95,0.01
0.95,2,0.33,0.99,0.95,0.01
0.95,2,0.4,0.99,0.95,0.01
0.99,2,0.33,0.99,0.95,0.01
0.99,2,0.4,0.99,0.95,0.01
